Nodo,Grupo
05FZA-115,1
04FMA-115,4
05AEP-115,1
06PRY-115,1
02SNS-115,6
03SLD-230,3
08PPO-115,0
03ING-69,6
06LBR-115,1
02LAV-400,6
02CJT-115,0
03IMP-115,3
03CNS-69,3
03RIG-115,3
05DGN-115,1
06RIB-138,1
04DYN-115,4
05SFB-115,1
04ORI-115,4
03AYL-115,3
03GKN-115,3
01PXA-85,6
05LGS-115,1
04EFR-230,4
02CIV-115,6
06MON-230,1
02ADD-115,0
01XOC-230,6
01TQC-115,6
08LAC-115,0
06MTN-115,1
05AMN-115,1
03GUD-69,3
06OVO-115,1
01TYA-230,6
03HYL-69,3
05LEX-115,1
02MDB-230,6
02MTL-115,6
03MIL-69,3
04TSR-115,4
06CYC-115,1
06MMD-230,1
02TPS-115,0
03COC-69,3
04CBA-115,4
03VYQ-115,3
05FXD-115,1
02RNA-115,6
03SPL-115,3
03NKA-69,3
04CUN-115,4
06MIG-138,1
04COC-115,4
03ZID-115,3
08SLC-230,0
01JDV-85,6
02ECM-115,0
03APZ-115,3
04LCH-115,4
05ISD-115,1
02MHT-115,0
06CMN-115,1
03UPT-115,3
05ALT-115,1
02TTP-115,0
06TMO-115,1
02CNJ-115,0
06CDT-115,1
02LMX-115,0
01AUR-230,6
01ATE-85,6
06PBS-115,1
03SEI-115,3
04CUS-115,4
01CTT-85,6
02KIM-115,0
02OWC-115,2
08CBU-115,0
06AUA-138,1
01NAU-85,6
05ARM-115,1
01ECA-230,6
01IXL-230,6
05CEJ-115,1
08NIZ-115,5
03ZLT-69,3
01ATU-115,6
05TBL-115,1
03TSM-115,3
05OAS-115,1
04SBK-115,4
05VEZ-115,1
06REY-138,1
03VAR-115,3
03MXT-115,3
02LRZ-115,0
04CUT-115,4
02MRO-115,0
05LEO-115,1
03LAS-115,3
03DEO-115,3
02PUE-115,0
06ALM-115,1
05DGD-115,1
01AVT-85,6
06POL-115,1
04GSV-115,4
08CAS-115,0
05SGP-115,1
02MID-400,0
06CYN-115,1
03LRE-115,3
03ABL-115,3
02HCO-115,0
03PUU-69,6
01TDK-230,6
02RBO-115,0
06LDC-115,1
06CIM-138,1
