"Fecha","Hora","05FZA-115","04FMA-115","05AEP-115","06PRY-115","02SNS-115","03SLD-230","08PPO-115","03ING-69","06LBR-115","02LAV-400","02CJT-115","03IMP-115","03CNS-69","03RIG-115","05DGN-115","06RIB-138","04DYN-115","05SFB-115","04ORI-115","03AYL-115","03GKN-115","01PXA-85","05LGS-115","04EFR-230","02CIV-115","06MON-230","02ADD-115","01XOC-230","01TQC-115","08LAC-115","06MTN-115","05AMN-115","03GUD-69","06OVO-115","01TYA-230","03HYL-69","05LEX-115","02MDB-230","02MTL-115","03MIL-69","04TSR-115","06CYC-115","06MMD-230","02TPS-115","03COC-69","04CBA-115","03VYQ-115","05FXD-115","02RNA-115","03SPL-115","03NKA-69","04CUN-115","06MIG-138","04COC-115","03ZID-115","08SLC-230","01JDV-85","02ECM-115","03APZ-115","04LCH-115","05ISD-115","02MHT-115","06CMN-115","03UPT-115","05ALT-115","02TTP-115","06TMO-115","02CNJ-115","06CDT-115","02LMX-115","01AUR-230","01ATE-85","06PBS-115","03SEI-115","04CUS-115","01CTT-85","02KIM-115","02OWC-115","08CBU-115","06AUA-138","01NAU-85","05ARM-115","01ECA-230","01IXL-230","05CEJ-115","08NIZ-115","03ZLT-69","01ATU-115","05TBL-115","03TSM-115","05OAS-115","04SBK-115","05VEZ-115","06REY-138","03VAR-115","03MXT-115","02LRZ-115","04CUT-115","02MRO-115","05LEO-115","03LAS-115","03DEO-115","02PUE-115","06ALM-115","05DGD-115","01AVT-85","06POL-115","04GSV-115","08CAS-115","05SGP-115","02MID-400","06CYN-115","03LRE-115","03ABL-115","02HCO-115","03PUU-69","01TDK-230","02RBO-115","06LDC-115","06CIM-138"
"2023-12-01","1",841.44,308.79,622.64,717.66,1798.51,894.98,1795.99,1323.74,512.26,1701.05,1838.93,1234.67,1122.03,1053.16,842.67,668.4,319.72,768.44,356.12,1131.85,1179.46,1569.82,839.49,276.45,1613.24,731.46,1740.17,1582.81,1507.9,1857.26,712.92,954.92,1114.2,551.58,1570.34,1124.87,628.84,1635.58,1711.69,1135.28,421.81,774.83,333.39,1716.15,1123.25,335.66,1282.44,625.06,1765.66,1115.02,1111.74,422.79,703.73,348.2,1197.5,1784.87,1570.75,1701.9,1250.18,355.24,722.61,1790.34,722.59,1227.64,726.37,1722.01,424.22,1815.78,703.55,1796.31,1584.32,1576.24,712.34,920.23,424.5,1570.29,1699.06,1671.25,1826.54,742.73,1569.88,751.8,1576.18,1587.61,624.09,1822.9,1114.82,1515.74,723.37,1241.55,797.39,330.21,695.07,678.51,949.32,1114.07,1649.95,421.84,1744.8,739.33,1034.73,1243.59,1899.17,763.68,902.16,1576.31,404.2,400.11,1808.67,990.4,1735.26,717.09,1116.35,1193.36,1827,1314.13,1576.51,1704.21,392.52,668.29
"2023-12-01","2",694.08,295.59,526.74,630.03,1147.06,723.96,1183.32,957.48,550.27,1104.06,1222.7,900.97,840.29,817.53,695.06,595.93,302.45,639.24,326.61,841.96,866.58,1055.18,693.23,273.21,1080,635.82,1153.42,1060.64,1030.89,1229.93,634.57,759.87,834.29,551.69,1057.06,841.71,531,1082.86,1148.33,849.35,369.69,661.56,452.6,1135.12,840.46,312.52,919.1,528.39,1139.36,836.78,834.24,370.43,621.05,321,879.78,1181.66,1056.27,1123.48,910.72,326.01,605.51,1190.45,633.13,896.35,607.93,1142.26,498.68,1208.25,622.91,1192.73,1059.98,1062.31,627.42,737.7,371.58,1056.02,1121.91,1100.58,1209.35,638.29,1055.29,626.77,1055.88,1061.59,528.12,1202.8,835.09,1034.97,606.08,899.75,659.35,310.13,581.57,604.48,763.54,842.03,1092.88,369.87,1157.48,617.82,803.75,900.72,1270.16,654.88,722.12,1062.5,487.32,356.01,1197.23,785.04,1149.96,630.8,836.11,876.64,1216.31,951.41,1062.03,1124.87,479.94,595.58
"2023-12-01","3",526.16,292.38,421.82,509.09,583.31,537.12,653.39,614.1,527.27,582.92,680.6,581.94,564.72,577.3,526.54,487.97,296.5,493.06,311.22,563.4,565.5,594.56,525.37,280.07,605.16,509.49,636.88,595.73,597.18,682.68,520.77,550.8,560.19,500.94,597.44,564.66,424.52,594.53,647.28,570.17,332.46,519.86,494.91,623.66,563.64,302.67,578.18,422.81,594.65,563.27,562.19,332.91,503.12,305.86,573.47,653.25,602.04,614.15,587.16,310.86,472.26,661.58,510.84,579.28,473.62,631.45,505.47,672.6,507.97,661.98,593.34,601.78,508.86,541.49,333.59,597.49,613.52,598.43,670.06,510.71,594.71,485.41,592.43,593.58,422.92,664.13,561.54,598.94,472.62,575.59,506.25,301.09,454.36,493.3,572.48,573.38,600.56,332.57,639.84,479.72,566.95,575.68,713.68,517.13,526.29,601.94,500.12,324.9,663.01,566.58,634.78,511.55,561.52,571.25,677.79,610.4,601.01,614.71,494.55,487.51
"2023-12-01","4",508.03,285.77,407.2,495.36,536.06,517.58,600.29,581.49,519.56,537.94,630.43,552.05,538.2,553.87,508.29,476.17,290.12,475.85,303.39,536.94,537.35,554.07,507.25,275.7,563.21,495.19,589.42,554.78,558.54,628.92,507.32,528.75,533.89,493.24,556.99,538.18,409.7,552.36,601.93,543.5,322.53,504.24,492.69,577.67,537.13,295.51,546.36,408.12,548.29,537.22,535.84,322.94,490.13,298.18,544.84,602.92,561.18,569.21,556.71,303.05,456.24,613.33,497.07,549.58,457.33,585.72,500.47,623.12,494.87,611.96,552.39,561.21,495.34,520.98,323.58,557.08,568.64,555.68,617.72,496.09,554.23,468.74,551.72,552.53,408.39,610.09,535.18,560.36,456.57,545.49,488.73,294.62,438.66,481.1,553.26,547.42,557.41,322.64,592.69,463.42,543.38,545.48,661.61,501.92,505.31,561.37,495.44,315.34,611.48,542.99,587.53,498.47,535.12,542.6,627.98,578.01,560.42,569.73,490.12,475.39
"2023-12-01","5",506.4,285.79,405.86,494.64,532.39,514.64,591.66,577.76,515.99,534.15,626.07,548.64,535.11,552.1,506.62,477,290.29,474.37,302.53,533.99,534.33,550.46,505.58,277.07,559.51,494.38,584.43,551.18,554.53,621.31,506.39,525.58,530.86,491.97,553.35,535.23,408.24,548.42,597.86,540.17,321.99,503.29,489.44,573.37,534.11,295.09,543.26,406.68,544.46,534.19,532.76,322.39,490.44,298.1,541.68,596.63,557.37,564.98,553.2,302.21,455.04,608.8,496.33,546.18,456.11,582.1,497.34,617.8,494.21,606.72,548.79,557.54,494.63,517.97,323,553.42,564.41,551.41,610.54,495.2,550.65,467.3,548.14,548.94,407.19,602.02,532.09,556.8,455.35,542.48,486.7,294.45,437.29,481.92,550.09,544.91,553.51,322.09,588.03,462.16,540.42,542.48,656.32,501.2,502.77,557.7,491.74,314.8,604.55,538.61,582.59,497.74,532.1,539.38,622.62,574.57,556.78,565.47,485.56,476.12
"2023-12-01","6",616.44,278.82,485.2,579.29,873.01,635.97,903.62,789.37,539.39,849.97,956.15,746.18,706.83,707.34,617.21,556.2,284.3,575.37,297.16,708.81,720.19,832.61,615.83,264.16,849.48,582.35,895.78,836.15,820.16,945.14,587.34,658.07,701.75,535.14,834.93,707.99,488.53,846.9,902.77,713.94,333.35,599.76,474.34,883.28,706.62,287.34,754.24,486.33,874.97,704.89,702.5,333.88,575.54,297.33,732.01,911.76,840.24,874.88,753.19,296.72,548.65,930.57,581.95,742.53,550.44,894.92,503.48,940.76,575.24,925.48,834.48,839.89,577.8,645.5,334.74,835.29,873.57,858.42,930.08,584.77,832.74,565.6,832.13,835.34,486.64,919,702.58,824.81,549.11,743.15,592.82,289.71,527.59,563.5,681.25,715.11,853.41,333.5,900.43,558.63,690.95,743.66,992.32,595.66,627.73,840.08,492.88,322.22,922.27,674.41,893.24,581.94,703.51,729.25,947.45,785.71,839.37,875.97,484.42,555.81
"2023-12-01","7",737.97,282.22,562.32,665.35,1247.89,763.6,1232.24,1031.75,560.23,1196.29,1312.5,966.86,897.54,878.07,738.45,636.81,288.06,683.51,304.26,900.59,926.11,1141.17,735.86,257.4,1167.16,672.93,1233.22,1147.4,1122.54,1290.78,669.47,805.34,890.97,577.06,1143.41,899.23,566.73,1172.98,1238.91,906.44,355.71,699.86,450.99,1221.46,897.66,290.89,985.74,563.83,1238.4,893.27,891.05,356.37,663.41,307.8,943.3,1248.88,1140.68,1213.71,977.04,303.67,648.97,1281.48,669.23,961.59,651.9,1237.99,503.71,1290.7,657.13,1269.52,1146.86,1149.36,661.91,777.4,357.42,1141.57,1211.43,1193.5,1271.64,677.69,1141.34,672.15,1142.38,1148.6,564.13,1258.06,892.1,1118.51,649.64,967.7,710.15,295.23,622.41,646.98,819.6,905.01,1181.49,355.88,1239.07,662.4,857.47,968.77,1355.49,693.68,766.31,1149.35,488.02,342.42,1261.77,826.39,1230.13,665.39,893.69,939.82,1299.68,1028.95,1148.57,1215.61,477.16,636.66
"2023-12-01","8",851.81,285.28,666.24,776.94,1362.61,873,1358.76,1167.38,671.25,1311.48,1445,1090.26,1015.71,1006.11,852.19,744.2,293.49,801.4,316.46,1016.8,1042.9,1260.98,848.67,262.49,1288.46,785.61,1356.64,1267,1242.47,1425.09,784.01,918.71,1007.63,684.59,1263.93,1017.19,671.67,1288.62,1369.74,1025.39,361,812.34,553.99,1343.66,1015.34,300.65,1104.83,668.15,1350.16,1009.99,1008.76,361.74,774.11,311.76,1062.87,1365.74,1261.79,1336.21,1102.49,315.74,761.74,1410.76,781.38,1084.05,765.2,1367.26,608.69,1420.73,768.15,1397.44,1265.8,1270.69,773.28,887.18,362.8,1261.97,1333.44,1308.8,1400.79,798.02,1261.15,787.65,1261.26,1267.58,667.76,1400.03,1009.37,1239.25,762.7,1089.34,832.71,301.99,731.04,755.23,937.47,1027.43,1301.3,361.18,1364.27,778.07,974.02,1090.57,1488.83,806.68,875.41,1270.69,591.49,347.94,1388.71,947.99,1353.13,776.99,1010.9,1058.97,1430.52,1165.22,1269.79,1338.42,579.15,744.87
"2023-12-01","9",769.13,260.27,581.47,693.85,1407.64,800.48,1390.35,1128.83,545.62,1345.05,1457.6,1054.03,968.23,932.77,769.1,665.11,264.86,710.24,266.25,972.03,1005.03,1272.39,765.31,230.22,1302.24,702.73,1378.9,1279.87,1243.52,1453.05,690.88,841.21,960.22,572.47,1274.66,969.71,586.65,1303.77,1383.13,977.52,347.51,729.71,413.13,1361.68,968.13,260.06,1079.12,583.52,1381.83,959.32,960.6,348.18,695.63,290.42,1024.75,1371.04,1272.12,1356.72,1062.83,265.53,672.77,1425.6,697.97,1047.56,676.57,1387.39,477.43,1440.35,672.73,1414.14,1279.25,1280.89,685.61,818.56,349.22,1272.6,1353.77,1327.91,1428.09,714.01,1272.58,697.68,1273.68,1281.39,576.33,1436.58,961.47,1241.31,673.91,1058.64,737.52,273.69,642.41,676.17,836.91,973.28,1320.17,347.6,1387.73,689.06,904.18,1060.17,1505.99,723.88,799.31,1280.83,459.42,332.88,1414.79,879.39,1375.62,692.32,963.54,1021.4,1449.23,1127.38,1280.37,1359.13,447.59,665.98
"2023-12-01","10",664.63,114.94,466.37,608.35,1230.19,718.88,1212.34,1000.12,499.77,1177.59,1267.91,932.55,856.56,822.35,664.76,583.87,111.81,586.36,23.69,859.81,887.17,1118.78,661.57,66.89,1144.51,613.61,1203.34,1124.87,1092.78,1267.77,607.77,734.97,849.03,510.86,1121.01,857.22,470.76,1140.26,1217.06,865.43,222,639.86,368.84,1191.12,855.97,58.93,954.07,468.29,1206.32,848.78,849.94,222.54,618.46,153.17,905.73,1190.25,1118.15,1188.59,940.49,23.07,554.79,1249.56,611.94,926.74,557.46,1219.29,425.1,1264.61,592.56,1231.17,1124.03,1126.54,602.23,734.59,223.47,1118.74,1185.99,1161.21,1247.34,622.4,1118.92,576.65,1119.36,1125.86,452.28,1258.57,850.25,1093.07,555.72,935.02,604.82,117.03,520.68,594.78,745.12,859.83,1157.84,221.93,1213.45,569.23,797.88,936.28,1324.93,634.31,696.34,1126.5,410.87,207.25,1234.83,772.48,1200.42,608.08,851.91,902.66,1273.23,999.57,1126.04,1190.67,401.06,585.13
